NP Entry ID,Study ID,DOI,Title,Year,Core NP Material,Surface Modification,Modification Type,Modification Charge,NP Type,NP Sub-Type,Lipid Core Molar Ratio,NP Shape,Size Method,HD Solvent,Size (nm),Size Group,Zeta Potential Solvent,Zeta Potential (mV),Zeta Potential Group,Zeta Potential Charge,PDI,PDI Group,Incubation Protein Source,Incubation Media Additives,Incubation Media,Incubation Protein Concentration (%-v/v),Plasma Concentation Group,NP Solution Concentration,NP Solution Concentration Units,Dispersion medium Volume (µL),Final NP Incubation Mass (mg),Mass Group,Incubation time (min),Incubation time Group,Shaking or AgitationDuring Incubation,Incubation Temp (°C),NP-PC Isolation Method,Extraction Centrifugation Speed (xg),Isolation Temperature (°C),Extraction Centrifugation Time (min),Number of Washing Steps,Exposure type,Species,Protein Composition Units,No Proteins Identified,Protein Entry No,Study ID,APOE,APOB,CO3,CLUS
A417,A45,https://doi.org/10.1021/acs.est.9b04332,Sulfidation of Ag and ZnO Nanomaterials Significantly Affects Protein Corona Composition: Implications for Human Exposure to Environmentally Aged Nanomaterials,2019,Zinc Oxide,No Modification,No Modification,No Modification,Inorganic,Metal Oxide,N/A,Sphere,TEM,N/A,41.9,<50,PBS,-22.24,-50~-10,Negative,Not Reported,Not Reported,Human BALF,None,N/A,100,50~100,1,mM,Not Reported,Not Reported,Not Reported,60,30~60,N,37,Centrifugation,16000,4,20,3,in vitro,Human,%-RPA,2,A417,A45,0,0,0.034514066,0.083740438
A418,A45,https://doi.org/10.1021/acs.est.9b04332,Sulfidation of Ag and ZnO Nanomaterials Significantly Affects Protein Corona Composition: Implications for Human Exposure to Environmentally Aged Nanomaterials,2019,Zinc Oxide,Sulfide,Sulfur-Based,Negative,Inorganic,Metal Oxide,N/A,Sphere,TEM,N/A,71.4,50~100,PBS,-26.4,-50~-10,Negative,Not Reported,Not Reported,Human BALF,None,N/A,100,50~100,1,mM,Not Reported,Not Reported,Not Reported,60,30~60,N,37,Centrifugation,16000,4,20,3,in vitro,Human,%-RPA,3,A418,A45,0.014880369,0,0.059459852,0.137006292
A419,A45,https://doi.org/10.1021/acs.est.9b04332,Sulfidation of Ag and ZnO Nanomaterials Significantly Affects Protein Corona Composition: Implications for Human Exposure to Environmentally Aged Nanomaterials,2019,Ag,No Modification,No Modification,No Modification,Inorganic,Metal,N/A,Sphere,DLS,PBS,71.8,50~100,PBS,-8.05,-10~+10,Neutral,Not Reported,Not Reported,Human BALF,None,N/A,100,50~100,1,mM,Not Reported,Not Reported,Not Reported,60,30~60,N,37,Centrifugation,16000,4,20,3,in vitro,Human,%-RPA,2,A419,A45,0,0,0.018490889,0.125640428
A420,A45,https://doi.org/10.1021/acs.est.9b04332,Sulfidation of Ag and ZnO Nanomaterials Significantly Affects Protein Corona Composition: Implications for Human Exposure to Environmentally Aged Nanomaterials,2019,Ag,Sulfide,Sulfur-Based,Negative,Inorganic,Metal,N/A,Sphere,DLS,PBS,223.4,>150,PBS,-19.55,-50~-10,Negative,Not Reported,Not Reported,Human BALF,None,N/A,100,50~100,1,mM,Not Reported,Not Reported,Not Reported,60,30~60,N,37,Centrifugation,16000,4,20,3,in vitro,Human,%-RPA,2,A420,A45,0,0,0.044653872,0.162513518
A421,A45,https://doi.org/10.1021/acs.est.9b04332,Sulfidation of Ag and ZnO Nanomaterials Significantly Affects Protein Corona Composition: Implications for Human Exposure to Environmentally Aged Nanomaterials,2019,Zinc Oxide,No Modification,No Modification,No Modification,Inorganic,Metal Oxide,N/A,Sphere,DLS,PBS,558.5,>150,PBS,-22.24,-50~-10,Negative,Not Reported,Not Reported,Human BALF,None,N/A,100,50~100,1,mM,Not Reported,Not Reported,Not Reported,60,30~60,N,37,Centrifugation,16000,4,20,3,in vitro,Human,%-RPA,2,A421,A45,0,0,0.034514066,0.083740438
A422,A45,https://doi.org/10.1021/acs.est.9b04332,Sulfidation of Ag and ZnO Nanomaterials Significantly Affects Protein Corona Composition: Implications for Human Exposure to Environmentally Aged Nanomaterials,2019,Zinc Oxide,Sulfide,Sulfur-Based,Negative,Inorganic,Metal Oxide,N/A,Sphere,DLS,PBS,654.3,>150,PBS,-26.4,-50~-10,Negative,Not Reported,Not Reported,Human BALF,None,N/A,100,50~100,1,mM,Not Reported,Not Reported,Not Reported,60,30~60,N,37,Centrifugation,16000,4,20,3,in vitro,Human,%-RPA,3,A422,A45,0.014880369,0,0.059459852,0.137006292
A424,A46,https://doi.org/10.1038/s41467-018-04009-x,Biological recognition of graphene nanoflakes,2018,Graphite,No Modification,No Modification,No Modification,Carbon-Based,Graphene,N/A,Flakes,DCS,N/A,250,>150,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,60,30~60,N,37,Centrifugation,1700,Not Reported,60,3,in vitro,Human,%-RPA,4,A424,A46,4.394408504,0.375541987,2.414117269,1.627722118
A425,A47,https://doi.org/10.1038/nnano.2015.330,Protein adsorption is required for stealth effect of poly(ethylene glycol)- and poly(phosphoester)-coated nanocarriers,2016,Polystyrene,NH2,Amines,Positive,Organic,Polystyrene,N/A,Sphere,DLS,DI-H2O,106,100~150,DI-H2O,46,+10~+50,Positive,2.5,>0.2,Human Plasma,None,N/A,100,50~100,0.05,m^2,300,Not Reported,Not Reported,60,30~60,Y,37,Centrifugation,20000,Not Reported,60,3,in vitro,Human,%-RPA,3,A425,A47,0.22358749,0,0.099226592,3.554224918
A426,A47,https://doi.org/10.1038/nnano.2015.330,Protein adsorption is required for stealth effect of poly(ethylene glycol)- and poly(phosphoester)-coated nanocarriers,2016,Polystyrene,PEG,Polymeric,Neutral,Organic,Polystyrene,N/A,Sphere,DLS,DI-H2O,117,100~150,DI-H2O,15,+10~+50,Positive,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,0.05,m^2,300,Not Reported,Not Reported,60,30~60,Y,37,Centrifugation,20000,Not Reported,60,3,in vitro,Human,%-RPA,4,A426,A47,1.045204003,0.006207114,0.13768399,45.03415698
A427,A47,https://doi.org/10.1038/nnano.2015.330,Protein adsorption is required for stealth effect of poly(ethylene glycol)- and poly(phosphoester)-coated nanocarriers,2016,Polystyrene,PEG,Polymeric,Neutral,Organic,Polystyrene,N/A,Sphere,DLS,DI-H2O,119,100~150,DI-H2O,8,-10~+10,Neutral,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,0.05,m^2,300,Not Reported,Not Reported,60,30~60,Y,37,Centrifugation,20000,Not Reported,60,3,in vitro,Human,%-RPA,4,A427,A47,0.798616687,0.003359216,0.225731165,42.12340938
A428,A47,https://doi.org/10.1038/nnano.2015.330,Protein adsorption is required for stealth effect of poly(ethylene glycol)- and poly(phosphoester)-coated nanocarriers,2016,Polystyrene,Poly(Ethyl Ethylene Phosphate),Polymeric,Neutral,Organic,Polystyrene,N/A,Sphere,DLS,DI-H2O,117,100~150,DI-H2O,-9,-10~+10,Neutral,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,0.05,m^2,300,Not Reported,Not Reported,60,30~60,Y,37,Centrifugation,20000,Not Reported,60,3,in vitro,Human,%-RPA,4,A428,A47,0.603551065,0.006174408,0.091737272,67.47549672
A429,A47,https://doi.org/10.1038/nnano.2015.330,Protein adsorption is required for stealth effect of poly(ethylene glycol)- and poly(phosphoester)-coated nanocarriers,2016,Polystyrene,Poly(Ethyl Ethylene Phosphate),Polymeric,Neutral,Organic,Polystyrene,N/A,Sphere,DLS,DI-H2O,122,100~150,DI-H2O,-10,-10~+10,Neutral,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,0.05,m^2,300,Not Reported,Not Reported,60,30~60,Y,37,Centrifugation,20000,Not Reported,60,3,in vitro,Human,%-RPA,4,A429,A47,0.44030133,0.003268908,0.087988508,69.23007968
A430,A48,https://doi.org/10.1016/j.bbagen.2017.03.010,Biophysics and protein corona analysis of Janus cyclodextrin-DNA nanocomplexes. Efficient cellular transfection on cancer cells,2017,ADM70,No Modification,No Modification,No Modification,Organic,DNA,Not Reported,Sphere,DLS,Human Plasma,114,100~150,Human Plasma,29.8,+10~+50,Positive,0.21,>0.2,Human Plasma,None,N/A,50,50~100,50,%-v-v,Not Reported,Not Reported,Not Reported,60,30~60,Y,37,Centrifugation,14000,Not Reported,15,3,in vitro,Human,%-RPA,3,A430,A48,3.07,0,2.37,1.25
A431,A48,https://doi.org/10.1016/j.bbagen.2017.03.010,Biophysics and protein corona analysis of Janus cyclodextrin-DNA nanocomplexes. Efficient cellular transfection on cancer cells,2017,ADM105,No Modification,No Modification,No Modification,Organic,DNA,Not Reported,Sphere,DLS,Human Plasma,149,100~150,Human Plasma,31.7,+10~+50,Positive,0.41,>0.2,Human Plasma,None,N/A,50,50~100,50,%-v-v,Not Reported,Not Reported,Not Reported,60,30~60,Y,37,Centrifugation,14000,Not Reported,15,3,in vitro,Human,%-RPA,3,A431,A48,2.7,0,1.63,2.02
A432,A48,https://doi.org/10.1016/j.bbagen.2017.03.010,Biophysics and protein corona analysis of Janus cyclodextrin-DNA nanocomplexes. Efficient cellular transfection on cancer cells,2017,ADM105,pDNA,Other,Negative,Organic,DNA,Not Reported,Sphere,DLS,Human Plasma,191,>150,Human Plasma,-16.3,-50~-10,Negative,0.64,>0.2,Human Plasma,None,N/A,50,50~100,50,%-v-v,Not Reported,Not Reported,Not Reported,60,30~60,Y,37,Centrifugation,14000,Not Reported,15,3,in vitro,Human,%-RPA,3,A432,A48,1.97,0,1.57,1.54
A433,A48,https://doi.org/10.1016/j.bbagen.2017.03.010,Biophysics and protein corona analysis of Janus cyclodextrin-DNA nanocomplexes. Efficient cellular transfection on cancer cells,2017,ADM70,pDNA,Other,Negative,Organic,DNA,Not Reported,Sphere,DLS,Human Plasma,153,>150,Human Plasma,-17.4,-50~-10,Negative,0.34,>0.2,Human Plasma,None,N/A,50,50~100,50,%-v-v,Not Reported,Not Reported,Not Reported,60,30~60,Y,37,Centrifugation,14000,Not Reported,15,3,in vitro,Human,%-RPA,3,A433,A48,2.14,0,3.84,0.92
A434,A49,https://doi.org/10.1039/C5NR01970B,Characterization of the bionano interface and mapping extrinsic interactions of the corona of nanomaterials,2015,Polystyrene,COOH,Carboxylic Acids,Negative,Organic,Polystyrene,N/A,Sphere,DLS,PBS,73.7,50~100,PBS,-43.5,-50~-10,Negative,0.06,0~0.1,Human Plasma,None,PBS,10,<50,40,mg/L,Not Reported,0.007,0~5,60,30~60,N,25,Not Reported,N/A,N/A,N/A,N/A,in vitro,Human,%-RPA,4,A434,A49,3.8981574,0.5479104,0.3799306,0.2297801
A435,A49,https://doi.org/10.1039/C5NR01970B,Characterization of the bionano interface and mapping extrinsic interactions of the corona of nanomaterials,2015,Polystyrene,COOH,Carboxylic Acids,Negative,Organic,Polystyrene,N/A,Sphere,DLS,PBS,73.7,50~100,PBS,-43.5,-50~-10,Negative,0.06,0~0.1,Human Plasma,None,PBS,25,<50,40,mg/L,Not Reported,0.007,0~5,60,30~60,N,25,Not Reported,N/A,N/A,N/A,N/A,in vitro,Human,%-RPA,4,A435,A49,1.39,3.82,0.27,0.05
A436,A49,https://doi.org/10.1039/C5NR01970B,Characterization of the bionano interface and mapping extrinsic interactions of the corona of nanomaterials,2015,Polystyrene,COOH,Carboxylic Acids,Negative,Organic,Polystyrene,N/A,Sphere,DLS,PBS,73.7,50~100,PBS,-43.5,-50~-10,Negative,0.06,0~0.1,Human Plasma,None,PBS,55,50~100,40,mg/L,Not Reported,0.007,0~5,60,30~60,N,25,Not Reported,N/A,N/A,N/A,N/A,in vitro,Human,%-RPA,3,A436,A49,2.8564419,1.1685881,0.1489602,0
A437,A49,https://doi.org/10.1039/C5NR01970B,Characterization of the bionano interface and mapping extrinsic interactions of the corona of nanomaterials,2015,Polystyrene,COOH,Carboxylic Acids,Negative,Organic,Polystyrene,N/A,Sphere,DLS,PBS,73.7,50~100,PBS,-43.5,-50~-10,Negative,0.06,0~0.1,Human Plasma,None,PBS,75,50~100,40,mg/L,Not Reported,0.007,0~5,60,30~60,N,25,Not Reported,N/A,N/A,N/A,N/A,in vitro,Human,%-RPA,3,A437,A49,1.63,9.51,0.44,0
A438,A49,https://doi.org/10.1039/C5NR01970B,Characterization of the bionano interface and mapping extrinsic interactions of the corona of nanomaterials,2015,Polystyrene,COOH,Carboxylic Acids,Negative,Organic,Polystyrene,N/A,Sphere,DLS,PBS,116.3,100~150,PBS,-53.2,<-50,Negative,0.05,0~0.1,Human Plasma,None,PBS,10,<50,5,mg/L,Not Reported,0.0008775,0~5,60,30~60,N,25,Not Reported,N/A,N/A,N/A,N/A,in vitro,Human,%-RPA,2,A438,A49,0,0.05,0,0.13
A439,A49,https://doi.org/10.1039/C5NR01970B,Characterization of the bionano interface and mapping extrinsic interactions of the corona of nanomaterials,2015,Polystyrene,sulfate,Sulfur-Based,Negative,Organic,Polystyrene,N/A,Sphere,DLS,PBS,130,100~150,PBS,-61.2,<-50,Negative,0.09,0~0.1,Human Plasma,None,PBS,10,<50,1,mg/L,Not Reported,0.000175,0~5,60,30~60,N,25,Not Reported,N/A,N/A,N/A,N/A,in vitro,Human,%-RPA,3,A439,A49,0.09,0,0.03,0.53
A440,A50,https://doi.org/10.1039/C3TX50023C,Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,2013,Zeolite,No Modification,No Modification,No Modification,Inorganic,Metal Oxide,N/A,Sheet,DLS,DI-H2O,12,<50,DI-H2O,-35,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,Not Reported,10,<50,100,mg/L,Not Reported,Not Reported,Not Reported,60,30~60,N,25,Centrifugation,Not Reported,Not Reported,20,5,in vitro,Human,%-RPA,2,A440,A50,0,0.62,2.85,0
A441,A50,https://doi.org/10.1039/C3TX50023C,Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,2013,Zeolite,No Modification,No Modification,No Modification,Inorganic,Metal Oxide,N/A,Sheet,DLS,DI-H2O,12,<50,DI-H2O,-35,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,Not Reported,10,<50,100,mg/L,Not Reported,Not Reported,Not Reported,60,30~60,N,25,Centrifugation,Not Reported,Not Reported,20,5,in vitro,Human,%-RPA,3,A441,A50,0,0.29,1.32,0.36
A442,A50,https://doi.org/10.1039/C3TX50023C,Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,2013,Zeolite,No Modification,No Modification,No Modification,Inorganic,Metal Oxide,N/A,Sheet,DLS,DI-H2O,12,<50,DI-H2O,-35,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,Not Reported,10,<50,100,mg/L,Not Reported,Not Reported,Not Reported,60,30~60,N,25,Centrifugation,Not Reported,Not Reported,20,5,in vitro,Human,%-RPA,2,A442,A50,0,0.19,1.06,0
A443,A50,https://doi.org/10.1039/C3TX50023C,Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,2013,Zeolite,No Modification,No Modification,No Modification,Inorganic,Metal Oxide,N/A,Sphere,DLS,DI-H2O,13,<50,DI-H2O,-35,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,Not Reported,10,<50,100,mg/L,Not Reported,Not Reported,Not Reported,60,30~60,N,25,Centrifugation,Not Reported,Not Reported,20,5,in vitro,Human,%-RPA,3,A443,A50,1.62,0.43,2.43,0
A444,A50,https://doi.org/10.1039/C3TX50023C,Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,2013,Zeolite,No Modification,No Modification,No Modification,Inorganic,Metal Oxide,N/A,Sphere,DLS,DI-H2O,13,<50,DI-H2O,-35,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,Not Reported,10,<50,100,mg/L,Not Reported,Not Reported,Not Reported,60,30~60,N,25,Centrifugation,Not Reported,Not Reported,20,5,in vitro,Human,%-RPA,3,A444,A50,2.17,0.28,2.31,0
A445,A50,https://doi.org/10.1039/C3TX50023C,Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,2013,Zeolite,No Modification,No Modification,No Modification,Inorganic,Metal Oxide,N/A,Sphere,DLS,DI-H2O,13,<50,DI-H2O,-35,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,Not Reported,10,<50,100,mg/L,Not Reported,Not Reported,Not Reported,60,30~60,N,25,Centrifugation,Not Reported,Not Reported,20,5,in vitro,Human,%-RPA,4,A445,A50,2.54,0.26,1.89,0.75
A446,A50,https://doi.org/10.1039/C3TX50023C,Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,2013,Zeolite,No Modification,No Modification,No Modification,Inorganic,Metal Oxide,N/A,Sphere,DLS,DI-H2O,13,<50,DI-H2O,-35,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,Not Reported,10,<50,100,mg/L,Not Reported,Not Reported,Not Reported,60,30~60,N,25,Centrifugation,Not Reported,Not Reported,20,5,in vitro,Human,%-RPA,3,A446,A50,0,0.44,2.76,0.62
A447,A50,https://doi.org/10.1039/C3TX50023C,Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,2013,Zeolite,No Modification,No Modification,No Modification,Inorganic,Metal Oxide,N/A,Sheet,DLS,DI-H2O,12,<50,DI-H2O,-35,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,100,mg/L,Not Reported,Not Reported,Not Reported,60,30~60,N,25,Centrifugation,Not Reported,Not Reported,20,5,in vitro,Human,%-RPA,1,A447,A50,0,0,8.82,0
A448,A50,https://doi.org/10.1039/C3TX50023C,Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,2013,Zeolite,No Modification,No Modification,No Modification,Inorganic,Metal Oxide,N/A,Sheet,DLS,DI-H2O,12,<50,DI-H2O,-35,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,100,mg/L,Not Reported,Not Reported,Not Reported,60,30~60,N,25,Centrifugation,Not Reported,Not Reported,20,5,in vitro,Human,%-RPA,1,A448,A50,0,0,4.2,0
A449,A50,https://doi.org/10.1039/C3TX50023C,Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,2013,Zeolite,No Modification,No Modification,No Modification,Inorganic,Metal Oxide,N/A,Sheet,DLS,DI-H2O,12,<50,DI-H2O,-35,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,100,mg/L,Not Reported,Not Reported,Not Reported,60,30~60,N,25,Centrifugation,Not Reported,Not Reported,20,5,in vitro,Human,%-RPA,1,A449,A50,0,0,2.42,0
A450,A50,https://doi.org/10.1039/C3TX50023C,Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,2013,Zeolite,No Modification,No Modification,No Modification,Inorganic,Metal Oxide,N/A,Sheet,DLS,DI-H2O,12,<50,DI-H2O,-35,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,100,mg/L,Not Reported,Not Reported,Not Reported,60,30~60,N,25,Centrifugation,Not Reported,Not Reported,20,5,in vitro,Human,%-RPA,1,A450,A50,0,0,2.86,0
A451,A50,https://doi.org/10.1039/C3TX50023C,Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,2013,Zeolite,No Modification,No Modification,No Modification,Inorganic,Metal Oxide,N/A,Sphere,DLS,DI-H2O,13,<50,DI-H2O,-35,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,100,mg/L,Not Reported,Not Reported,Not Reported,60,30~60,N,25,Centrifugation,Not Reported,Not Reported,20,5,in vitro,Human,%-RPA,2,A451,A50,6.917,0,2.227,0
A452,A50,https://doi.org/10.1039/C3TX50023C,Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,2013,Zeolite,No Modification,No Modification,No Modification,Inorganic,Metal Oxide,N/A,Sphere,DLS,DI-H2O,13,<50,DI-H2O,-35,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,100,mg/L,Not Reported,Not Reported,Not Reported,60,30~60,N,25,Centrifugation,Not Reported,Not Reported,20,5,in vitro,Human,%-RPA,3,A452,A50,5.848,0.41,4.519,0
A453,A50,https://doi.org/10.1039/C3TX50023C,Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,2013,Zeolite,No Modification,No Modification,No Modification,Inorganic,Metal Oxide,N/A,Sphere,DLS,DI-H2O,13,<50,DI-H2O,-35,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,100,mg/L,Not Reported,Not Reported,Not Reported,60,30~60,N,25,Centrifugation,Not Reported,Not Reported,20,5,in vitro,Human,%-RPA,3,A453,A50,6.072,0.426,6.452,0
A454,A50,https://doi.org/10.1039/C3TX50023C,Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,2013,Zeolite,No Modification,No Modification,No Modification,Inorganic,Metal Oxide,N/A,Sphere,DLS,DI-H2O,13,<50,DI-H2O,-35,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,100,mg/L,Not Reported,Not Reported,Not Reported,60,30~60,N,25,Centrifugation,Not Reported,Not Reported,20,5,in vitro,Human,%-RPA,3,A454,A50,5.203,0.547,5.026,0
A455,A51,https://doi.org/10.1016/j.jprot.2012.01.003,Do plasma proteins distinguish between liposomes of varying charge density?,2012,DC-Chol-DOPE,No Modification,No Modification,No Modification,Organic,Lipid,Not Reported,Sphere,Not Reported,Not Reported,102,100~150,Not Reported,54.3,>+50,Positive,0.243,>0.2,Human Plasma,None,N/A,100,50~100,Not Reported,Not Reported,400,Not Reported,Not Reported,60,30~60,N,37,Centrifugation,Not Reported,Not Reported,10,3,in vitro,Human,%-RPA,4,A455,A51,1.74004,0.45228,5.31456,0.82649
A456,A51,https://doi.org/10.1016/j.jprot.2012.01.003,Do plasma proteins distinguish between liposomes of varying charge density?,2012,DC-Chol-DOPE,No Modification,No Modification,No Modification,Organic,Lipid,Not Reported,Sphere,Not Reported,Not Reported,102,100~150,Not Reported,54.3,>+50,Positive,0.243,>0.2,Human Plasma,None,N/A,100,50~100,Not Reported,Not Reported,400,Not Reported,Not Reported,60,30~60,N,37,Centrifugation,Not Reported,Not Reported,10,3,in vitro,Human,%-RPA,4,A456,A51,1.68042,0.54471,5.04491,0.77782
A457,A51,https://doi.org/10.1016/j.jprot.2012.01.003,Do plasma proteins distinguish between liposomes of varying charge density?,2012,DC-Chol-DOPE,No Modification,No Modification,No Modification,Organic,Lipid,Not Reported,Sphere,Not Reported,Not Reported,102,100~150,Not Reported,54.3,>+50,Positive,0.243,>0.2,Human Plasma,None,N/A,100,50~100,Not Reported,Not Reported,400,Not Reported,Not Reported,60,30~60,N,37,Centrifugation,Not Reported,Not Reported,10,3,in vitro,Human,%-RPA,4,A457,A51,1.80657,0.51947,4.6858,0.67514
A458,A51,https://doi.org/10.1016/j.jprot.2012.01.003,Do plasma proteins distinguish between liposomes of varying charge density?,2012,DC-Chol-DOPE,No Modification,No Modification,No Modification,Organic,Lipid,Not Reported,Sphere,Not Reported,Not Reported,109,100~150,Not Reported,56.3,>+50,Positive,0.212,>0.2,Human Plasma,None,N/A,100,50~100,Not Reported,Not Reported,400,Not Reported,Not Reported,60,30~60,N,37,Centrifugation,Not Reported,Not Reported,10,3,in vitro,Human,%-RPA,4,A458,A51,1.584980446,0.427838443,5.94,0.743810339
A459,A51,https://doi.org/10.1016/j.jprot.2012.01.003,Do plasma proteins distinguish between liposomes of varying charge density?,2012,DC-Chol-DOPE,No Modification,No Modification,No Modification,Organic,Lipid,Not Reported,Sphere,Not Reported,Not Reported,109,100~150,Not Reported,56.3,>+50,Positive,0.212,>0.2,Human Plasma,None,N/A,100,50~100,Not Reported,Not Reported,400,Not Reported,Not Reported,60,30~60,N,37,Centrifugation,Not Reported,Not Reported,10,3,in vitro,Human,%-RPA,4,A459,A51,1.71076291,0.447482618,5.67,0.720079596
A460,A51,https://doi.org/10.1016/j.jprot.2012.01.003,Do plasma proteins distinguish between liposomes of varying charge density?,2012,DC-Chol-DOPE,No Modification,No Modification,No Modification,Organic,Lipid,Not Reported,Sphere,Not Reported,Not Reported,109,100~150,Not Reported,56.3,>+50,Positive,0.212,>0.2,Human Plasma,None,N/A,100,50~100,Not Reported,Not Reported,400,Not Reported,Not Reported,60,30~60,N,37,Centrifugation,Not Reported,Not Reported,10,3,in vitro,Human,%-RPA,4,A460,A51,1.739281739,0.434894416,5.27,0.752166703
A461,A51,https://doi.org/10.1016/j.jprot.2012.01.003,Do plasma proteins distinguish between liposomes of varying charge density?,2012,DC-Chol-DOPE,No Modification,No Modification,No Modification,Organic,Lipid,Not Reported,Sphere,Not Reported,Not Reported,105,100~150,Not Reported,60.5,>+50,Positive,0.239,>0.2,Human Plasma,None,N/A,100,50~100,Not Reported,Not Reported,400,Not Reported,Not Reported,60,30~60,N,37,Centrifugation,Not Reported,Not Reported,10,3,in vitro,Human,%-RPA,4,A461,A51,1.37687,0.31973,2.20764,0.42389
A462,A51,https://doi.org/10.1016/j.jprot.2012.01.003,Do plasma proteins distinguish between liposomes of varying charge density?,2012,DC-Chol-DOPE,No Modification,No Modification,No Modification,Organic,Lipid,Not Reported,Sphere,Not Reported,Not Reported,105,100~150,Not Reported,60.5,>+50,Positive,0.239,>0.2,Human Plasma,None,N/A,100,50~100,Not Reported,Not Reported,400,Not Reported,Not Reported,60,30~60,N,37,Centrifugation,Not Reported,Not Reported,10,3,in vitro,Human,%-RPA,4,A462,A51,1.51562,0.35255,2.27723,0.43076
A463,A51,https://doi.org/10.1016/j.jprot.2012.01.003,Do plasma proteins distinguish between liposomes of varying charge density?,2012,DC-Chol-DOPE,No Modification,No Modification,No Modification,Organic,Lipid,Not Reported,Sphere,Not Reported,Not Reported,105,100~150,Not Reported,60.5,>+50,Positive,0.239,>0.2,Human Plasma,None,N/A,100,50~100,Not Reported,Not Reported,400,Not Reported,Not Reported,60,30~60,N,37,Centrifugation,Not Reported,Not Reported,10,3,in vitro,Human,%-RPA,4,A463,A51,1.70674,0.34066,2.09583,0.48299
A464,A52,https://doi.org/10.1007/s11051-013-1498-4,Effect of DOPE and cholesterol on the protein adsorption onto lipid nanoparticles,2013,DOTAP-Chol,No Modification,No Modification,No Modification,Organic,Lipid,1:1:0,Sphere,DLS,DI-H2O,83.5,50~100,DI-H2O,50.5,>+50,Positive,0.293,>0.2,Human Plasma,None,N/A,100,50~100,Not Reported,Not Reported,400,Not Reported,Not Reported,60,30~60,N,37,Centrifugation,Not Reported,Not Reported,10,3,in vitro,Human,%-RPA,4,A464,A52,2.344904295,1.216126533,3.145329957,0.881134902
A465,A52,https://doi.org/10.1007/s11051-013-1498-4,Effect of DOPE and cholesterol on the protein adsorption onto lipid nanoparticles,2013,DOTAP-DOPE,No Modification,No Modification,No Modification,Organic,Lipid,1:0:1,Sphere,DLS,DI-H2O,90.8,50~100,DI-H2O,51.2,>+50,Positive,0.225,>0.2,Human Plasma,None,N/A,100,50~100,Not Reported,Not Reported,400,Not Reported,Not Reported,60,30~60,N,37,Centrifugation,Not Reported,Not Reported,10,3,in vitro,Human,%-RPA,4,A465,A52,1.2126407,0.415674225,1.158719895,3.749091478
